 site acronym Lat Lon status
43 Uruaçu/GO GOUR -14.52 -49.15 novas
44 Florianópolis/SC IFSC -27.6 -48.55 novas
45 Santarém/PA PASM -2.44 -54.7 novas
46 Franca/SP SPFR -20.53 -47.47 novas
47 "Belém INPE/PA" BEPA   novas
48 Coari/AM COAM -4.09 -63.14 novas
49 Jaíba/MG JAMG -15.34 -43.67 novas
50  Baca -10.33 -53.2 novas
51 "Laranjal do Jari/AP" APLJ -0.84 -52.52 novas
52 "Foz do Iguaçu - ITAIPU/PR" ITAI   novas
53 "Monte Carmelo/MG" MGMT -18.73 -47.5 novas
54 "Corumbá - Embrapa/MS" MSCB   novas
55 "Ponta Porã/MS" MSPP -22.53 -55.72 novas
56 "Barra do Garcas - UFMT/MT" MTGA   novas
57 "São José dos Campos/SP" SJSP -23.19 -45.89 novas
58 "LABORATÓRIO GRAVIMETRIA ONRJ - VASSOURAS/RJ" RJVA   novas
59 "Passo Fundo/RS" RSPF -28.26 -52.4 novas
60 "Sorocaba - UNESP/SP" SPS1 -23.48 -47.42 novas
61 Itacoatiara/AM ITAM -3.15 -58.45 novas
62 "Fundacao Joao Pinheiro/MG" MGJP -19.85 -43.97 novas
63 Juína/MT MTJI -11.42 -58.76 novas
64 "Altamira - UFPA" PAAR -0.72 -48.51 novas
65 "Niteroi UFF/RJ" RJNI   novas
66 Parintins/AM AMPR -2.63 -56.73 novas
0 Aquidauana/MS MSAQ -20.47 -55.78 inoperantes
1 Cáceres/MT MTCA -16.06 -57.69 inoperantes
2 "Pelotas - Capão Do Leão/RS" RSPE -31.77 -52.41 inoperantes
3 "Cruzeiro Do Sul/AC" CRUZ -7.63 -72.67 inoperantes
4 Jaíba/MG JAMG -15.34 -43.67 inoperantes
5 Maracaju/MS MSMJ -21.62 -55.16 inoperantes
6 "Mundo Novo/MS" MSMN -23.94 -54.29 inoperantes
7 "Primavera Do Leste/MT" MTLE -15.56 -54.3 inoperantes
8 "São Carlos/SP" EESC -22.02 -47.89 inoperantes
